Date,Close/Last,Volume,Open,High,Low
11/04/2024,$2.90,173975,$2.92,$2.93,$2.89
11/01/2024,$3.02,317130,$2.95,$3.05,$2.95
10/31/2024,$2.93,432110,$2.952,$2.96,$2.86
10/30/2024,$2.895,176824,$2.90,$2.92,$2.83
10/29/2024,$2.969,133864,$2.95,$3.01,$2.93
10/28/2024,$2.84,164806,$2.87,$2.92,$2.84
10/25/2024,$2.91,199492,$2.94,$2.95,$2.90
10/24/2024,$2.864,257478,$2.97,$2.97,$2.85
10/23/2024,$2.9345,77132,$2.96,$2.96,$2.92
10/22/2024,$2.92,169874,$2.94,$2.94,$2.90
10/21/2024,$2.8455,233078,$2.92,$2.93,$2.84
10/18/2024,$2.84,82116,$2.92,$2.92,$2.84
10/17/2024,$2.915,174885,$2.84,$3.00,$2.815
10/16/2024,$2.79,142066,$2.79,$2.81,$2.76
10/15/2024,$2.88,96141,$2.85,$2.881,$2.84
10/14/2024,$2.89,227144,$2.85,$2.90,$2.84
10/11/2024,$2.82,339929,$2.77,$2.83,$2.76
10/10/2024,$2.81,46596,$2.83,$2.83,$2.787
10/09/2024,$2.83,277335,$2.79,$2.84,$2.76
10/08/2024,$2.83,319543,$2.88,$2.88,$2.82
10/07/2024,$2.95,396150,$3.01,$3.03,$2.93
10/04/2024,$3.02,2048722,$2.31,$3.135,$2.28
10/03/2024,$2.31,749846,$2.24,$2.31,$2.22
10/02/2024,$2.25,271313,$2.26,$2.27,$2.24
10/01/2024,$2.2435,149185,$2.23,$2.2562,$2.23
09/30/2024,$2.22,896507,$2.22,$2.25,$2.20
09/27/2024,$2.31,532829,$2.30,$2.34,$2.275
09/26/2024,$2.21,1671493,$2.05,$2.24,$2.03
09/25/2024,$2.25,760662,$2.56,$2.56,$2.11
09/24/2024,$2.62,362906,$2.65,$2.66,$2.60
09/23/2024,$2.63,63749,$2.63,$2.64,$2.59
09/20/2024,$2.71,354857,$2.74,$2.76,$2.68
09/19/2024,$2.85,163850,$2.81,$2.85,$2.79
09/18/2024,$2.79,71216,$2.73,$2.80,$2.725
09/17/2024,$2.585,60280,$2.59,$2.62,$2.57
09/16/2024,$2.48,62669,$2.46,$2.4943,$2.45
09/13/2024,$2.554,101580,$2.55,$2.58,$2.53
09/12/2024,$2.55,130254,$2.54,$2.56,$2.51
09/11/2024,$2.61,272435,$2.68,$2.68,$2.55
09/10/2024,$2.86,123581,$2.86,$2.87,$2.79
09/09/2024,$2.95,258220,$3.00,$3.00,$2.93
09/06/2024,$3.19,185471,$3.30,$3.31,$3.16
09/05/2024,$3.345,65388,$3.39,$3.3957,$3.31
09/04/2024,$3.40,21003,$3.40,$3.43,$3.3925
09/03/2024,$3.365,295052,$3.44,$3.44,$3.35
08/30/2024,$3.755,36566,$3.74,$3.765,$3.732
08/29/2024,$3.77,31748,$3.78,$3.78,$3.76
08/28/2024,$3.83,26731,$3.83,$3.85,$3.818
08/27/2024,$3.845,23605,$3.89,$3.91,$3.835
08/26/2024,$3.81,67235,$3.78,$3.82,$3.78
08/23/2024,$3.76,13290,$3.685,$3.76,$3.685
08/22/2024,$3.69,56605,$3.74,$3.74,$3.67
08/21/2024,$3.74,10230,$3.74,$3.75,$3.73
08/20/2024,$3.69,20055,$3.66,$3.70,$3.66
08/19/2024,$3.69,23765,$3.685,$3.71,$3.67
08/16/2024,$3.69,11847,$3.65,$3.69,$3.65
08/15/2024,$3.675,42296,$3.70,$3.70,$3.66
